1,Komponen yang berfungsi sebagai otak komputer adalah...,RAM,CPU,Hard Disk,Monitor,B,
2,Perangkat keras yang digunakan untuk menampilkan data berupa gambar atau video adalah...,Printer,Monitor,Speaker,Keyboard,B,
3,Perangkat keras yang digunakan untuk mencetak hasil data adalah...,Monitor,Printer,Scanner,Modem,B,100
4,Perangkat keras yang berfungsi untuk menangkap gambar dan dokumen adalah...,Monitor,Printer,Scanner,Mouse,C,100
5,Perangkat yang berfungsi untuk menyimpan data secara permanen pada komputer adalah...,RAM,Hard Disk,CPU,Keyboard,B,100
6,Fungsi utama motherboard dalam komputer adalah...,Mengolah data,Menyediakan daya listrik,Menghubungkan komponen-komponen komputer,Menyimpan data,C,100
7,Apa yang dimaksud dengan perangkat keras output?,Perangkat yang memproses data,Perangkat yang menyimpan data sementara,Perangkat yang menampilkan hasil proses data,Perangkat yang menghubungkan komputer dengan jaringan,C,100
8,Perangkat keras komputer yang termasuk input device adalah...,Mouse,Speaker,Monitor,Printer,A,100
9,"Monitor, printer, dan speaker termasuk dalam jenis perangkat keras...",Input device,Output device,Storage device,Processing device,B,100
10,RAM digunakan untuk menyimpan data secara...,Permanen,Sementara,Lama,Jangka panjang,B,100
